File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Femur of Normal_1.jpg,5.45E+00,2.05E+00,-2.31E-02,2.23E+00,1.88E-01,1.75E+00,Nor
Medial Femur of Normal_10.jpg,5.55E+00,2.14E+00,-6.49E-01,2.84E+00,2.09E-01,1.72E+00,Nor
Medial Femur of Normal_11.jpg,5.51E+00,1.49E+00,-4.25E-01,3.14E+00,2.37E-01,1.60E+00,Nor
Medial Femur of Normal_12.jpg,5.89E+00,1.61E+00,-3.72E-01,2.97E+00,2.24E-01,1.64E+00,Nor
Medial Femur of Normal_13.jpg,5.16E+00,1.65E+00,-3.09E-01,2.81E+00,2.19E-01,1.66E+00,Nor
Medial Femur of Normal_14.jpg,5.83E+00,1.47E+00,-3.15E-01,3.19E+00,2.36E-01,1.60E+00,Nor
Medial Femur of Normal_15.jpg,5.17E+00,1.44E+00,-3.34E-01,2.77E+00,2.35E-01,1.58E+00,Nor
Medial Femur of Normal_16.jpg,4.79E+00,1.31E+00,-1.89E-01,2.58E+00,2.42E-01,1.54E+00,Nor
Medial Femur of Normal_17.jpg,5.18E+00,1.84E+00,-3.53E-01,2.87E+00,2.13E-01,1.70E+00,Nor
Medial Femur of Normal_18.jpg,6.06E+00,1.29E+00,-8.99E-01,3.86E+00,2.82E-01,1.47E+00,Nor
Medial Femur of Normal_19.jpg,5.59E+00,2.02E+00,-3.88E-01,2.64E+00,1.99E-01,1.74E+00,Nor
Medial Femur of Normal_2.jpg,5.57E+00,1.38E+00,-2.05E-01,2.82E+00,2.38E-01,1.57E+00,Nor
Medial Femur of Normal_20.jpg,5.95E+00,1.25E+00,-1.02E+00,4.65E+00,2.88E-01,1.45E+00,Nor
Medial Femur of Normal_21.jpg,6.33E+00,1.40E+00,-6.80E-01,3.20E+00,2.55E-01,1.53E+00,Nor
Medial Femur of Normal_22.jpg,5.76E+00,2.27E+00,-5.73E-01,2.67E+00,1.96E-01,1.76E+00,Nor
Medial Femur of Normal_23.jpg,5.34E+00,1.52E+00,-4.87E-01,3.10E+00,2.40E-01,1.60E+00,Nor
Medial Femur of Normal_24.jpg,6.73E+00,9.59E-01,-1.14E+00,5.61E+00,3.38E-01,1.31E+00,Nor
Medial Femur of Normal_25.jpg,5.34E+00,2.91E+00,-1.03E-01,2.02E+00,1.61E-01,1.89E+00,Nor
Medial Femur of Normal_26.jpg,6.32E+00,1.32E+00,-9.97E-01,4.57E+00,2.80E-01,1.48E+00,Nor
Medial Femur of Normal_27.jpg,6.15E+00,1.74E+00,-7.47E-01,3.37E+00,2.30E-01,1.63E+00,Nor
Medial Femur of Normal_28.jpg,5.43E+00,1.59E+00,-2.66E-01,2.79E+00,2.22E-01,1.64E+00,Nor
Medial Femur of Normal_29.jpg,5.90E+00,1.62E+00,-9.18E-01,3.82E+00,2.53E-01,1.58E+00,Nor
Medial Femur of Normal_3.jpg,4.51E+00,1.42E+00,1.65E-01,3.05E+00,2.39E-01,1.59E+00,Nor
Medial Femur of Normal_30.jpg,6.20E+00,2.12E+00,-1.16E+00,3.82E+00,2.66E-01,1.60E+00,Nor
Medial Femur of Normal_31.jpg,5.91E+00,2.14E+00,-6.34E-01,2.85E+00,2.07E-01,1.73E+00,Nor
Medial Femur of Normal_32.jpg,5.77E+00,2.26E+00,-4.64E-01,2.32E+00,1.99E-01,1.74E+00,Nor
Medial Femur of Normal_33.jpg,5.54E+00,1.35E+00,-3.15E-01,3.26E+00,2.48E-01,1.56E+00,Nor
Medial Femur of Normal_34.jpg,6.07E+00,2.12E+00,-5.80E-01,2.64E+00,2.04E-01,1.72E+00,Nor
Medial Femur of Normal_35.jpg,5.48E+00,1.83E+00,-3.09E-01,2.71E+00,2.07E-01,1.70E+00,Nor
Medial Femur of Normal_36.jpg,5.56E+00,2.57E+00,-1.98E-01,2.15E+00,1.71E-01,1.84E+00,Nor
Medial Femur of Normal_37.jpg,5.78E+00,1.89E+00,-4.00E-01,2.75E+00,2.05E-01,1.71E+00,Nor
Medial Femur of Normal_38.jpg,5.58E+00,1.72E+00,-3.00E-01,2.86E+00,2.15E-01,1.68E+00,Nor
Medial Femur of Normal_39.jpg,5.28E+00,1.77E+00,-8.16E-02,2.30E+00,2.04E-01,1.68E+00,Nor
Medial Femur of Normal_4.jpg,4.93E+00,1.75E+00,-4.80E-02,2.69E+00,2.10E-01,1.69E+00,Nor
Medial Femur of Normal_40.jpg,5.44E+00,2.22E+00,-2.19E-01,2.22E+00,1.87E-01,1.77E+00,Nor
Medial Femur of Normal_41.jpg,5.91E+00,1.73E+00,-6.14E-01,2.98E+00,2.27E-01,1.64E+00,Nor
Medial Femur of Normal_42.jpg,6.02E+00,1.26E+00,-4.65E-01,3.21E+00,2.58E-01,1.52E+00,Nor
Medial Femur of Normal_43.jpg,5.91E+00,1.99E+00,-6.70E-01,3.17E+00,2.15E-01,1.71E+00,Nor
Medial Femur of Normal_44.jpg,5.71E+00,1.63E+00,-4.72E-01,3.17E+00,2.25E-01,1.64E+00,Nor
Medial Femur of Normal_45.jpg,5.39E+00,2.45E+00,-1.70E-01,2.08E+00,1.79E-01,1.80E+00,Nor
Medial Femur of Normal_46.jpg,5.53E+00,1.96E+00,-3.22E-01,2.68E+00,2.00E-01,1.74E+00,Nor
Medial Femur of Normal_47.jpg,5.56E+00,2.14E+00,-1.89E-01,2.41E+00,1.86E-01,1.78E+00,Nor
Medial Femur of Normal_48.jpg,5.23E+00,2.04E+00,-2.21E-01,2.41E+00,1.93E-01,1.75E+00,Nor
Medial Femur of Normal_49.jpg,5.24E+00,2.04E+00,-2.66E-01,2.50E+00,1.95E-01,1.75E+00,Nor
Medial Femur of Normal_5.jpg,5.40E+00,2.00E+00,-2.44E-01,2.34E+00,1.95E-01,1.73E+00,Nor
Medial Femur of Normal_50.jpg,6.20E+00,2.13E+00,-8.51E-01,3.06E+00,2.30E-01,1.66E+00,Nor
Medial Femur of Normal_51.jpg,5.48E+00,1.29E+00,-2.22E-01,3.05E+00,2.52E-01,1.54E+00,Nor
Medial Femur of Normal_52.jpg,5.45E+00,1.97E+00,-4.63E-01,2.89E+00,2.04E-01,1.73E+00,Nor
Medial Femur of Normal_53.jpg,4.61E+00,1.26E+00,9.08E-02,2.67E+00,2.46E-01,1.53E+00,Nor
Medial Femur of Normal_54.jpg,5.72E+00,2.67E+00,-5.90E-01,2.62E+00,1.83E-01,1.83E+00,Nor
Medial Femur of Normal_55.jpg,4.32E+00,1.32E+00,9.18E-02,3.06E+00,2.47E-01,1.56E+00,Nor
Medial Femur of Normal_56.jpg,4.95E+00,1.40E+00,-5.47E-02,3.01E+00,2.41E-01,1.59E+00,Nor
Medial Femur of Normal_57.jpg,5.10E+00,1.23E+00,-1.54E-01,2.83E+00,2.51E-01,1.52E+00,Nor
Medial Femur of Normal_58.jpg,5.55E+00,1.99E+00,-5.34E-01,2.64E+00,2.10E-01,1.70E+00,Nor
Medial Femur of Normal_59.jpg,5.10E+00,9.68E-01,-2.83E-01,3.51E+00,3.00E-01,1.39E+00,Nor
Medial Femur of Normal_6.jpg,6.26E+00,7.77E-01,-4.54E-01,4.14E+00,3.36E-01,1.27E+00,Nor
Medial Femur of Normal_60.jpg,5.95E+00,1.37E+00,-4.97E-01,3.32E+00,2.49E-01,1.56E+00,Nor
Medial Femur of Normal_61.jpg,5.37E+00,1.20E+00,-1.27E-01,2.89E+00,2.55E-01,1.51E+00,Nor
Medial Femur of Normal_62.jpg,5.41E+00,1.14E+00,-4.50E-01,3.69E+00,2.79E-01,1.47E+00,Nor
Medial Femur of Normal_63.jpg,5.47E+00,2.36E+00,-4.28E-01,2.43E+00,1.88E-01,1.79E+00,Nor
Medial Femur of Normal_7.jpg,5.64E+00,2.27E+00,-5.41E-01,2.56E+00,1.99E-01,1.75E+00,Nor
Medial Femur of Normal_8.jpg,6.14E+00,1.09E+00,-8.38E-01,4.19E+00,2.99E-01,1.40E+00,Nor
Medial Femur of Normal_9.jpg,5.75E+00,6.95E-01,-3.24E-01,4.35E+00,3.66E-01,1.22E+00,Nor
Medial Femur of OA_1.jpg,6.37E+00,7.36E-01,-3.44E-01,3.42E+00,3.35E-01,NaN,OA
Medial Femur of OA_10.jpg,4.72E+00,1.30E+00,1.42E-01,3.00E+00,2.49E-01,1.55E+00,OA
Medial Femur of OA_11.jpg,4.93E+00,1.91E+00,8.08E-02,2.52E+00,1.98E-01,1.73E+00,OA
Medial Femur of OA_12.jpg,4.55E+00,1.43E+00,1.30E-01,2.77E+00,2.33E-01,1.59E+00,OA
Medial Femur of OA_13.jpg,5.31E+00,2.33E+00,-2.64E-01,2.34E+00,1.82E-01,1.80E+00,OA
Medial Femur of OA_14.jpg,5.07E+00,2.03E+00,-2.45E-01,2.38E+00,1.95E-01,1.74E+00,OA
Medial Femur of OA_15.jpg,5.71E+00,1.64E+00,-4.08E-01,3.06E+00,2.23E-01,1.65E+00,OA
Medial Femur of OA_16.jpg,5.43E+00,1.40E+00,-3.33E-01,2.80E+00,2.38E-01,1.57E+00,OA
Medial Femur of OA_17.jpg,4.33E+00,1.34E+00,8.51E-02,2.66E+00,2.38E-01,1.56E+00,OA
Medial Femur of OA_18.jpg,5.14E+00,1.78E+00,-3.62E-01,2.84E+00,2.13E-01,1.69E+00,OA
Medial Femur of OA_19.jpg,5.46E+00,1.94E+00,-2.84E-01,2.59E+00,1.99E-01,1.73E+00,OA
Medial Femur of OA_2.jpg,5.25E+00,1.39E+00,3.55E-02,3.28E+00,2.46E-01,1.58E+00,OA
Medial Femur of OA_20.jpg,4.67E+00,1.62E+00,2.47E-01,2.90E+00,2.21E-01,1.65E+00,OA
Medial Femur of OA_21.jpg,5.06E+00,1.07E+00,-1.38E-01,3.34E+00,2.82E-01,1.45E+00,OA
Medial Femur of OA_22.jpg,4.76E+00,1.25E+00,6.77E-02,3.24E+00,2.58E-01,1.53E+00,OA
Medial Femur of OA_23.jpg,5.45E+00,1.11E+00,-1.63E-01,3.13E+00,2.72E-01,1.47E+00,OA
Medial Femur of OA_24.jpg,5.52E+00,1.46E+00,-4.15E-01,3.02E+00,2.40E-01,1.59E+00,OA
Medial Femur of OA_25.jpg,4.67E+00,1.90E+00,1.93E-02,2.49E+00,1.99E-01,1.73E+00,OA
Medial Femur of OA_26.jpg,4.91E+00,1.41E+00,1.04E-01,2.99E+00,2.38E-01,1.59E+00,OA
Medial Femur of OA_27.jpg,5.04E+00,1.47E+00,8.37E-02,2.60E+00,2.27E-01,1.60E+00,OA
Medial Femur of OA_28.jpg,5.01E+00,1.14E+00,-1.70E-01,3.10E+00,2.69E-01,1.48E+00,OA
Medial Femur of OA_29.jpg,5.75E+00,1.79E+00,-5.02E-01,3.09E+00,2.16E-01,1.68E+00,OA
Medial Femur of OA_3.jpg,5.10E+00,1.52E+00,1.57E-01,2.83E+00,2.28E-01,1.62E+00,OA
Medial Femur of OA_30.jpg,4.67E+00,1.86E+00,2.48E-01,2.54E+00,2.03E-01,1.71E+00,OA
Medial Femur of OA_31.jpg,5.03E+00,1.38E+00,-7.65E-02,3.07E+00,2.46E-01,1.58E+00,OA
Medial Femur of OA_32.jpg,5.74E+00,1.45E+00,-5.62E-01,3.49E+00,2.49E-01,1.58E+00,OA
Medial Femur of OA_33.jpg,5.89E+00,1.66E+00,-3.96E-01,2.94E+00,2.19E-01,1.65E+00,OA
Medial Femur of OA_34.jpg,4.92E+00,1.49E+00,-1.71E-01,2.82E+00,2.30E-01,1.61E+00,OA
Medial Femur of OA_35.jpg,5.37E+00,1.28E+00,-4.65E-01,3.38E+00,2.60E-01,1.52E+00,OA
Medial Femur of OA_36.jpg,5.03E+00,1.65E+00,-2.49E-02,2.85E+00,2.19E-01,1.67E+00,OA
Medial Femur of OA_37.jpg,4.97E+00,1.40E+00,-1.36E-02,3.03E+00,2.41E-01,1.59E+00,OA
Medial Femur of OA_38.jpg,5.06E+00,1.63E+00,-4.67E-02,2.76E+00,2.17E-01,1.66E+00,OA
Medial Femur of OA_39.jpg,5.38E+00,1.80E+00,-4.01E-01,2.81E+00,2.16E-01,1.69E+00,OA
Medial Femur of OA_4.jpg,5.59E+00,1.95E+00,-3.84E-01,2.61E+00,2.02E-01,1.72E+00,OA
Medial Femur of OA_40.jpg,5.27E+00,1.13E+00,-9.27E-02,3.05E+00,2.67E-01,1.48E+00,OA
Medial Femur of OA_41.jpg,5.42E+00,1.36E+00,-5.60E-01,3.49E+00,2.60E-01,1.54E+00,OA
Medial Femur of OA_42.jpg,5.10E+00,1.85E+00,-1.50E-01,2.71E+00,2.05E-01,1.72E+00,OA
Medial Femur of OA_43.jpg,5.82E+00,1.56E+00,-6.90E-01,3.42E+00,2.46E-01,1.59E+00,OA
Medial Femur of OA_44.jpg,5.30E+00,1.94E+00,-1.49E-01,2.51E+00,1.97E-01,1.74E+00,OA
Medial Femur of OA_45.jpg,5.31E+00,2.48E+00,-2.11E-01,2.21E+00,1.75E-01,1.83E+00,OA
Medial Femur of OA_46.jpg,5.59E+00,1.80E+00,-3.32E-01,2.69E+00,2.08E-01,1.69E+00,OA
Medial Femur of OA_47.jpg,5.55E+00,2.04E+00,-4.75E-01,2.48E+00,2.09E-01,1.71E+00,OA
Medial Femur of OA_48.jpg,5.23E+00,1.94E+00,-2.29E-01,2.64E+00,2.00E-01,1.74E+00,OA
Medial Femur of OA_49.jpg,5.22E+00,2.39E+00,-8.32E-02,2.19E+00,1.75E-01,1.82E+00,OA
Medial Femur of OA_5.jpg,5.71E+00,2.72E+00,-4.95E-01,2.27E+00,1.84E-01,1.81E+00,OA
Medial Femur of OA_50.jpg,6.25E+00,1.95E+00,-5.91E-01,2.89E+00,2.09E-01,1.69E+00,OA
Medial Femur of OA_51.jpg,5.60E+00,1.26E+00,-4.00E-01,3.04E+00,2.54E-01,1.52E+00,OA
Medial Femur of OA_52.jpg,5.85E+00,2.95E+00,-5.74E-01,2.53E+00,1.74E-01,1.87E+00,OA
Medial Femur of OA_53.jpg,5.45E+00,1.38E+00,-2.64E-01,2.95E+00,2.41E-01,1.57E+00,OA
Medial Femur of OA_54.jpg,6.03E+00,1.54E+00,-5.67E-01,3.23E+00,2.35E-01,1.60E+00,OA
Medial Femur of OA_55.jpg,4.95E+00,1.67E+00,-7.96E-02,2.69E+00,2.14E-01,1.67E+00,OA
Medial Femur of OA_56.jpg,5.59E+00,1.76E+00,-5.37E-01,3.05E+00,2.19E-01,1.67E+00,OA
Medial Femur of OA_57.jpg,4.79E+00,1.33E+00,-4.73E-01,3.17E+00,2.57E-01,1.53E+00,OA
Medial Femur of OA_58.jpg,4.54E+00,1.35E+00,1.28E-01,2.74E+00,2.38E-01,1.56E+00,OA
Medial Femur of OA_59.jpg,5.00E+00,1.64E+00,-3.23E-01,2.84E+00,2.28E-01,1.64E+00,OA
Medial Femur of OA_6.jpg,4.83E+00,1.54E+00,-1.27E-02,2.93E+00,2.28E-01,1.63E+00,OA
Medial Femur of OA_60.jpg,5.35E+00,1.36E+00,-1.99E-01,3.05E+00,2.44E-01,1.57E+00,OA
Medial Femur of OA_61.jpg,5.56E+00,1.43E+00,-2.05E-01,2.93E+00,2.36E-01,1.59E+00,OA
Medial Femur of OA_62.jpg,5.63E+00,1.55E+00,-3.19E-01,2.79E+00,2.25E-01,1.62E+00,OA
Medial Femur of OA_63.jpg,4.77E+00,1.47E+00,-2.87E-02,2.98E+00,2.37E-01,1.61E+00,OA
Medial Femur of OA_64.jpg,5.37E+00,1.44E+00,-3.21E-01,2.83E+00,2.34E-01,1.59E+00,OA
Medial Femur of OA_65.jpg,5.01E+00,1.60E+00,-1.16E-01,2.69E+00,2.20E-01,1.65E+00,OA
Medial Femur of OA_66.jpg,6.11E+00,1.60E+00,-6.49E-01,3.41E+00,2.36E-01,1.61E+00,OA
Medial Femur of OA_67.jpg,4.39E+00,1.17E+00,7.32E-02,3.30E+00,2.65E-01,1.49E+00,OA
Medial Femur of OA_68.jpg,5.24E+00,2.20E+00,-3.01E-01,2.18E+00,1.95E-01,1.74E+00,OA
Medial Femur of OA_7.jpg,5.49E+00,1.95E+00,-4.39E-01,2.70E+00,2.05E-01,1.72E+00,OA
Medial Femur of OA_8.jpg,5.71E+00,1.24E+00,-3.26E-01,3.08E+00,2.54E-01,1.52E+00,OA
Medial Femur of OA_9.jpg,5.01E+00,1.44E+00,1.65E-01,3.04E+00,2.37E-01,1.60E+00,OA
